slide_id,claim_ids,slide_title,slide_purpose,single_key_message,source_ids,proposed_layout,visual_type,citation_requirement,speaker_note_summary,prohibited_overstatement,confidence,manual_review_required
SLD-8EF87E789A485E3F8EB6,,SYN_CARDIO_AKI_SHADOW_VALIDATION,Introduce the project and presentation objective,复杂合成医学科研材料的可追溯影子验证；不代表真实临床研究或真实世界验证。,SRC-01-patient-level-synthet-44fed4fb8cd3;SRC-02-cohort-summary-1dbb58326345;SRC-03-model-results-60094a3fa178;SRC-04-sensitivity-results-5ccfe8975248;SRC-05-subgroup-results-2615cf06f550;SRC-06-missingness-52d547971cf7;SRC-07-data-dictionary-651b51eed07b;SRC-08-frozen-analysis-workb-7c9d8fa9a6d0;SRC-01-main-manuscript-synth-95e4fa25aff0;SRC-02-protocol-synopsis-syn-00480991443d;SRC-03-supplementary-methods-91c0cedcb895;SRC-figure-1-cohort-flow-768a1278488a;SRC-figure-2-primary-forest-64b705494c45;SRC-figure-3-creatinine-traj-a6ac74f7bbf8;SRC-figure-4-missingness-f10f6562518f;SRC-figure-5-sensitivity-1ccb24ef4f17;SRC-figure-5-sensitivity-7703f707fec0;SRC-reference-status-ca4e36a12f8d;SRC-selected-references-9ba20483f340,minimal_cover,typography,none unless title uses source-specific facts,State scope and that all reported content is source-bound.,Do not exceed the registered evidence strength.,high,yes
SLD-A9E00233DA0B5C5BBEB4,,输入材料界定本次汇报的证据边界,在解释前声明证据边界,已登记 19 个科研来源文件并保留 SHA-256 溯源。,SRC-01-patient-level-synthet-44fed4fb8cd3;SRC-02-cohort-summary-1dbb58326345;SRC-03-model-results-60094a3fa178;SRC-04-sensitivity-results-5ccfe8975248;SRC-05-subgroup-results-2615cf06f550;SRC-06-missingness-52d547971cf7;SRC-07-data-dictionary-651b51eed07b;SRC-08-frozen-analysis-workb-7c9d8fa9a6d0;SRC-01-main-manuscript-synth-95e4fa25aff0;SRC-02-protocol-synopsis-syn-00480991443d;SRC-03-supplementary-methods-91c0cedcb895;SRC-figure-1-cohort-flow-768a1278488a;SRC-figure-2-primary-forest-64b705494c45;SRC-figure-3-creatinine-traj-a6ac74f7bbf8;SRC-figure-4-missingness-f10f6562518f;SRC-figure-5-sensitivity-1ccb24ef4f17;SRC-figure-5-sensitivity-7703f707fec0;SRC-reference-status-ca4e36a12f8d;SRC-selected-references-9ba20483f340,text_plus_source_list,source_map,source manifest,Explain that unprovided information is not inferred.,Do not exceed the registered evidence strength.,high,no
SLD-4ABCCA3C794D54E8A2D7,,本次分析聚焦心室表型与随后 AKI 进展的关联,Present one source-bound result,该完全合成观察性队列用于评估入组后 24 小时心室功能表型与随后 72 小时 AKI 进展的关联，不代表真实临床证据。,SRC-01-main-manuscript-synth-95e4fa25aff0,result_statement,editable_bar_chart,required,Source: extracted line 5. Avoid: 仅可表述为合成观察性关联；不得表述为真实患者研究或因果效应。,仅可表述为合成观察性关联；不得表述为真实患者研究或因果效应。,high,yes
SLD-5C85C33891BD51B6B8A0,,Landmark 设计将暴露定义置于结局观察之前,Present one source-bound result,研究采用 landmark 框架：在入组后 24 小时定义暴露，并观察其后 72 小时 AKI 进展。,SRC-02-protocol-synopsis-syn-00480991443d,result_statement,evidence_statement,required,Source: extracted line 4. Avoid: 不得补充输入未提供的真实数据库、伦理审批或外部验证信息。,不得补充输入未提供的真实数据库、伦理审批或外部验证信息。,high,yes
SLD-8018D568EBF75F53BBD9,,队列流程明确区分纳入、排除与最终分析人群,Present one source-bound result,队列流程图展示完全合成样本的纳入、排除与最终分析人群。,SRC-figure-1-cohort-flow-768a1278488a,result_with_figure,source_figure,required,Source: figures/figure_1_cohort_flow.png. Avoid: 流程图仅用于合成技术验证；不得解释为真实患者招募。,流程图仅用于合成技术验证；不得解释为真实患者招募。,high,yes
SLD-5FA02A0DB7905F6592A6,,四类互斥心室表型构成主要暴露框架,Present one source-bound result,24 小时时点的心室功能按无功能障碍、单纯 LV、单纯 RV 和双心室功能障碍四类互斥表型登记。,SRC-01-main-manuscript-synth-95e4fa25aff0,result_statement,evidence_statement,required,Source: extracted line 56. Avoid: 不得把分类梯度解释为因果剂量反应。,不得把分类梯度解释为因果剂量反应。,high,yes
SLD-56566EBFE1825B90B959,,双心室组的合成 AKI 进展发生率最高,Present one source-bound result,AKI 进展发生率依次为 38/148（25.7%）、27/76（35.5%）、24/54（44.4%）和 34/58（58.6%）。,SRC-02-cohort-summary-1dbb58326345,result_with_chart,editable_bar_chart,required,Source: data/02_cohort_summary.csv: all phenotype rows. Avoid: 只报告描述性发生率；不得表述为因果梯度。,只报告描述性发生率；不得表述为因果梯度。,high,yes
SLD-C189C2D15E9D5599B044,,单纯 LV 的估计方向为正，但不确定性仍跨越无效值,Present one source-bound result,与无心室功能障碍相比，单纯 LV 的调整 OR 为 1.42（95% CI 0.78–2.59，P=0.247）；区间跨越 1。,SRC-03-model-results-60094a3fa178,result_statement,evidence_statement,required,Source: data/03_model_results.csv: claim_id=CLM-001. Avoid: 不得称为统计学显著、明确阳性或独立因果效应。,不得称为统计学显著、明确阳性或独立因果效应。,high,yes
SLD-D5B59FFA31B4585E943B,,单纯 RV 与更高 AKI 进展 odds 存在统计关联,Present one source-bound result,与无心室功能障碍相比，单纯 RV 与更高 AKI 进展 odds 相关：调整 OR 2.06（95% CI 1.05–4.03，P=0.036）。,SRC-03-model-results-60094a3fa178,result_statement,evidence_statement,required,Source: data/03_model_results.csv: claim_id=CLM-002. Avoid: 不得表述为 RV 功能障碍导致 AKI。,不得表述为 RV 功能障碍导致 AKI。,high,yes
SLD-16F80628E010516E80BC,,双心室功能障碍显示四组中最强的合成统计关联,Present one source-bound result,双心室功能障碍在四组中显示最强关联：调整 OR 3.61（95% CI 1.91–6.84，P=0.0001）。,SRC-03-model-results-60094a3fa178,result_statement,evidence_statement,required,Source: data/03_model_results.csv: claim_id=CLM-003. Avoid: 不得表述为剂量反应因果关系、机制证明或临床验证。,不得表述为剂量反应因果关系、机制证明或临床验证。,high,yes
